100 4860
84 28 14
43 1 3
88 40 21
10 35 26
3 88 12
48 56 28
87 47 12
29 36 17
13 35 11
35 96 1
82 32 2
17 27 15
79 15 15
51 25 12
6 81 10
59 81 8
6 68 6
70 50 14
48 63 9
48 50 17
1 84 11
82 1 11
16 32 26
42 83 4
3 89 25
52 1 18
61 7 28
66 29 18
11 77 14
91 26 24
19 27 29
32 61 2
72 77 15
27 71 18
60 74 30
26 78 1
25 39 18
93 58 18
10 69 15
43 61 13
79 80 20
47 64 21
68 36 30
74 64 1
12 76 27
91 55 5
71 80 17
10 73 15
79 36 26
26 31 29
98 10 2
50 9 6
62 30 23
4 46 5
16 74 24
59 29 28
82 10 6
93 35 12
24 71 8
50 55 6
49 65 29
51 27 5
13 57 27
17 61 5
34 30 9
37 41 21
56 24 1
84 69 18
25 93 12
54 44 7
32 45 22
90 48 29
94 13 8
32 83 22
68 17 14
27 6 25
67 14 21
69 98 30
6 24 6
19 30 30
35 62 7
69 53 5
29 99 28
47 84 21
78 52 10
43 79 18
97 98 13
80 19 13
79 78 17
24 97 30
65 33 12
3 2 7
37 31 27
37 30 21
19 60 23
71 3 5
28 53 15
52 33 25
75 64 5
73 41 12
2 58 7
94 62 11
42 51 15
38 40 25
70 60 26
55 83 21
19 63 14
85 16 9
71 91 14
35 64 17
49 19 25
95 65 7
96 7 11
32 46 11
46 68 13
73 23 26
56 94 30
39 80 6
60 3 19
45 39 25
71 40 24
55 35 19
54 83 17
4 15 5
94 14 3
97 39 19
34 95 25
83 87 7
0 47 11
8 92 2
33 63 22
28 70 9
89 24 13
57 80 30
71 75 26
5 24 26
15 58 11
20 94 10
96 55 21
27 88 16
50 68 27
9 57 13
3 14 24
64 37 1
40 95 25
55 10 15
17 30 9
67 87 4
15 35 9
8 15 19
63 65 19
41 26 7
96 29 3
79 94 21
41 34 16
27 41 6
71 10 9
10 29 8
95 45 13
35 53 18
15 68 6
63 10 22
21 58 4
94 37 10
56 30 6
61 57 17
28 48 9
90 78 16
37 23 29
72 28 8
87 48 5
51 10 27
72 68 22
18 57 1
74 87 6
87 44 14
16 25 12
46 15 20
62 5 5
2 77 23
29 65 24
66 68 14
82 92 13
63 11 30
55 37 18
40 25 24
63 93 1
34 39 7
36 1 24
0 65 16
17 18 12
85 81 26
30 65 1
93 55 6
30 84 8
55 9 23
48 60 19
88 78 5
41 1 18
97 1 23
34 71 13
37 8 16
74 38 2
74 31 9
81 14 25
80 69 4
42 70 6
90 10 14
27 3 7
24 0 9
86 51 29
23 59 14
66 23 12
4 56 16
30 36 28
66 78 30
61 69 30
35 48 5
13 72 26
43 44 9
67 4 14
16 54 13
40 35 19
96 83 20
35 63 2
96 84 23
96 97 5
53 90 15
97 35 15
16 91 21
84 45 3
76 32 21
73 15 10
58 19 17
83 58 25
18 42 14
67 47 27
58 13 16
45 8 24
88 18 9
33 62 5
65 92 20
33 44 30
52 30 4
15 65 24
21 36 16
24 3 5
33 13 1
68 64 9
31 52 29
49 44 11
34 88 10
38 71 5
53 36 20
27 72 6
3 28 2
36 41 2
27 52 12
43 50 22
17 34 4
77 83 1
49 17 29
9 27 12
98 17 1
22 54 24
50 85 11
92 29 20
96 92 15
98 94 4
32 99 21
67 49 3
36 40 24
44 1 11
57 99 10
97 74 14
40 24 12
62 83 17
54 37 16
0 60 20
52 13 30
53 15 28
93 60 2
95 32 9
46 22 8
72 17 1
97 50 3
17 12 17
34 19 14
1 71 15
0 75 20
71 29 5
79 22 27
30 69 29
91 68 3
48 40 13
50 89 3
73 59 18
79 93 29
74 94 22
30 46 18
99 18 27
60 83 10
82 12 3
2 66 4
94 38 4
36 61 7
95 0 18
88 58 5
34 32 27
86 50 15
73 99 28
57 31 30
21 53 22
87 76 8
26 50 14
39 96 29
39 26 29
49 30 13
88 16 28
17 71 19
69 18 8
0 99 29
53 82 8
30 60 4
80 73 25
28 34 14
6 82 13
